genero,edad,ciudad,consumo,delivery,precio,servicio,redes sociales
Masculino,21 a 26 ,La Paz,3,SI,Desacuerdo,2,Facebook
Masculino,27 a 32 ,La Paz,4,NO,Desacuerdo,4,Facebook
Femenino,21 a 26 ,El Alto,3,SI,De Acuerdo,4,Facebook
Masculino,27 a 32 ,La Paz,2,NO,Desacuerdo,4,Facebook
Masculino,27 a 32 ,La Paz,2,NO,Desacuerdo,1,Ninguno
Masculino,27 a 32 ,La Paz,1,NO,Desacuerdo,4,Facebook
Femenino,27 a 32 ,La Paz,3,NO,Desacuerdo,2,Facebook
Masculino,21 a 26 ,La Paz,2,NO,Desacuerdo,3,Facebook
Masculino,21 a 26 ,La Paz,3,NO,De Acuerdo,5,Facebook;Instagram
Femenino,21 a 26 ,El Alto,3,NO,Desacuerdo,3,Facebook
Masculino,27 a 32 ,La Paz,3,NO,Desacuerdo,4,Facebook
